ActivityID,ActivityName
e2222cd4-98ee-11e9-b2c1-0028f8be90af,Clay_Placement_S20_B01
e2222cd5-98ee-11e9-affd-0028f8be90af,Clay_Placement_S20_B02
e224285e-98ee-11e9-a386-0028f8be90af,Sand_Placement_S01
e224285f-98ee-11e9-b880-0028f8be90af,Sand_Placement_S02
e2242860-98ee-11e9-b431-0028f8be90af,Sand_Placement_S03
e2242861-98ee-11e9-b303-0028f8be90af,Sand_Placement_S04
e2242862-98ee-11e9-8dbc-0028f8be90af,Sand_Placement_S05
e2242863-98ee-11e9-ae1c-0028f8be90af,Sand_Placement_S06
e2242864-98ee-11e9-a68f-0028f8be90af,Sand_Placement_S07
e2242865-98ee-11e9-a72d-0028f8be90af,Sand_Placement_S08
e2242866-98ee-11e9-9174-0028f8be90af,Sand_Placement_S09
e2244f86-98ee-11e9-80f0-0028f8be90af,Sand_Placement_S10
e2244f87-98ee-11e9-bc0e-0028f8be90af,Sand_Placement_S11
e2244f88-98ee-11e9-a5ae-0028f8be90af,Sand_Placement_S12
e2244f89-98ee-11e9-9fec-0028f8be90af,Sand_Placement_S13
e2244f8a-98ee-11e9-97e8-0028f8be90af,Sand_Placement_S14
e2244f8b-98ee-11e9-a54f-0028f8be90af,Sand_Placement_S15
e2244f8c-98ee-11e9-b76f-0028f8be90af,Sand_Placement_S16
e2244f8d-98ee-11e9-aab6-0028f8be90af,Sand_Placement_S17
e2244f8e-98ee-11e9-985e-0028f8be90af,Sand_Placement_S18
e2244f8f-98ee-11e9-93c9-0028f8be90af,Sand_Placement_S19
e2244f90-98ee-11e9-b179-0028f8be90af,Sand_Placement_S20
e226c08a-98ee-11e9-904f-0028f8be90af,Armour_Placement_S01_B01
e226c08b-98ee-11e9-84f1-0028f8be90af,Armour_Placement_S02_B01
e226e7b4-98ee-11e9-8c04-0028f8be90af,Armour_Placement_S03_B01
e226e7b5-98ee-11e9-b91d-0028f8be90af,Armour_Placement_S04_B01
e226e7b6-98ee-11e9-a696-0028f8be90af,Armour_Placement_S05_B01
e226e7b7-98ee-11e9-bf71-0028f8be90af,Armour_Placement_S06_B01
e226e7b8-98ee-11e9-a149-0028f8be90af,Armour_Placement_S07_B01
e226e7b9-98ee-11e9-b647-0028f8be90af,Armour_Placement_S08_B01
e226e7ba-98ee-11e9-bc84-0028f8be90af,Armour_Placement_S09_B01
e226e7bb-98ee-11e9-976d-0028f8be90af,Armour_Placement_S10_B01
e226e7bc-98ee-11e9-b408-0028f8be90af,Armour_Placement_S11_B01
e226e7bd-98ee-11e9-875d-0028f8be90af,Armour_Placement_S12_B01
e226e7be-98ee-11e9-888a-0028f8be90af,Armour_Placement_S13_B01
e226e7bf-98ee-11e9-a43d-0028f8be90af,Armour_Placement_S14_B01
e226e7c0-98ee-11e9-8dfe-0028f8be90af,Armour_Placement_S15_B01
e226e7c1-98ee-11e9-896a-0028f8be90af,Armour_Placement_S16_B01
e226e7c2-98ee-11e9-87c4-0028f8be90af,Armour_Placement_S17_B01
e226e7c3-98ee-11e9-bc30-0028f8be90af,Armour_Placement_S18_B01
e226e7c4-98ee-11e9-8ace-0028f8be90af,Armour_Placement_S19_B01
e226e7c5-98ee-11e9-be06-0028f8be90af,Armour_Placement_S20_B01
e226e7c6-98ee-11e9-96a1-0028f8be90af,Armour_Placement_S01_B02
e226e7c7-98ee-11e9-80ac-0028f8be90af,Armour_Placement_S02_B02
e226e7c8-98ee-11e9-a242-0028f8be90af,Armour_Placement_S03_B02
e2270eba-98ee-11e9-a3f5-0028f8be90af,Armour_Placement_S04_B02
e2270ebb-98ee-11e9-8a04-0028f8be90af,Armour_Placement_S05_B02
e2270ebc-98ee-11e9-a320-0028f8be90af,Armour_Placement_S06_B02
e2270ebd-98ee-11e9-8144-0028f8be90af,Armour_Placement_S07_B02
e2270ebe-98ee-11e9-9720-0028f8be90af,Armour_Placement_S08_B02
e2270ebf-98ee-11e9-b917-0028f8be90af,Armour_Placement_S09_B02
e2270ec0-98ee-11e9-b67e-0028f8be90af,Armour_Placement_S10_B02
e2270ec1-98ee-11e9-b0db-0028f8be90af,Armour_Placement_S11_B02
e2270ec2-98ee-11e9-baac-0028f8be90af,Armour_Placement_S12_B02
e2270ec3-98ee-11e9-850d-0028f8be90af,Armour_Placement_S13_B02
