ActivityID,EquipmentID,ActivityFunction
e2275cdd-98ee-11e9-8534-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e2275cdd-98ee-11e9-8534-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e2275cdd-98ee-11e9-8534-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22783e8-98ee-11e9-93cd-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22783e8-98ee-11e9-93cd-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e22783e8-98ee-11e9-93cd-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22783e9-98ee-11e9-9bcd-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22783e9-98ee-11e9-9bcd-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e22783e9-98ee-11e9-9bcd-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22783ea-98ee-11e9-a13a-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22783ea-98ee-11e9-a13a-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e22783ea-98ee-11e9-a13a-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22783eb-98ee-11e9-bd23-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22783eb-98ee-11e9-bd23-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e22783eb-98ee-11e9-bd23-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
b6d86646-98ef-11e9-b4fc-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d86646-98ef-11e9-b4fc-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d86646-98ef-11e9-b4fc-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d86647-98ef-11e9-88a9-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d86647-98ef-11e9-88a9-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d86647-98ef-11e9-88a9-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d86648-98ef-11e9-9cf5-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d86648-98ef-11e9-9cf5-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d86648-98ef-11e9-9cf5-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d86649-98ef-11e9-813a-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d86649-98ef-11e9-813a-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d86649-98ef-11e9-813a-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d8664a-98ef-11e9-9de7-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d8664a-98ef-11e9-9de7-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d8664a-98ef-11e9-9de7-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d8664b-98ef-11e9-886d-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d8664b-98ef-11e9-886d-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d8664b-98ef-11e9-886d-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d8664c-98ef-11e9-a003-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d8664c-98ef-11e9-a003-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d8664c-98ef-11e9-a003-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d8664d-98ef-11e9-ab21-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d8664d-98ef-11e9-ab21-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d8664d-98ef-11e9-ab21-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d8664e-98ef-11e9-acab-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d8664e-98ef-11e9-acab-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d8664e-98ef-11e9-acab-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d66-98ef-11e9-a9fd-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d66-98ef-11e9-a9fd-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d66-98ef-11e9-a9fd-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d67-98ef-11e9-8ea3-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d67-98ef-11e9-8ea3-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d67-98ef-11e9-8ea3-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d68-98ef-11e9-aaef-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d68-98ef-11e9-aaef-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d68-98ef-11e9-aaef-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d69-98ef-11e9-819f-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d69-98ef-11e9-819f-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d69-98ef-11e9-819f-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d6a-98ef-11e9-abd2-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d6a-98ef-11e9-abd2-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d6a-98ef-11e9-abd2-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d6b-98ef-11e9-9004-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d6b-98ef-11e9-9004-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d6b-98ef-11e9-9004-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
